district,year,murder
NARSINGHPUR,2007,1
NEEMUCH,2007,1
PANNA,2007,1
RAISEN,2007,1
RAJGARH,2007,1
SHIVPURI,2007,1
SIDHI,2007,1
AHMEDNAGAR,2007,1
"AURANGABAD COMMR.",2007,1
"AURANGABAD RURAL",2007,1
BHANDARA,2007,1
BULDHANA,2007,1
LATUR,2007,1
"NAGPUR COMMR.",2007,1
"SOLAPUR RURAL",2007,1
ANGUL,2007,1
DHENKANAL,2007,1
JHARSUGUDA,2007,1
KHURDA,2007,1
SAMBALPUR,2007,1
"AMRITSAR RURAL",2007,1
PATIALA,2007,1
BUNDI,2007,1
CHITTORGARH,2007,1
DAUSA,2007,1
"JAIPUR EAST",2007,1
"JAIPUR NORTH",2007,1
JAISALMER,2007,1
JHUNJHUNU,2007,1
"KOTA CITY",2007,1
SIKAR,2007,1
SIROHI,2007,1
TONK,2007,1
UDAIPUR,2007,1
"COIMBATORE URBAN",2007,1
DHARMAPURI,2007,1
ERODE,2007,1
KARUR,2007,1
"MADURAI URBAN",2007,1
NAGAPATTINAM,2007,1
"SALEM URBAN",2007,1
SIVAGANGAI,2007,1
THANJAVUR,2007,1
THENI,2007,1
THIRUVANNAMALAI,2007,1
"TRICHY RURAL",2007,1
VILLUPURAM,2007,1
VIRUDHUNAGAR,2007,1
"AMBEDKAR NAGAR",2007,1
BALLIA,2007,1
BARABANKI,2007,1
ETAWAH,2007,1
HAMIRPUR,2007,1
"KUSHI NAGAR",2007,1
MAHARAJGANJ,2007,1
MIRZAPUR,2007,1
SHRAWASTI,2007,1
ST.RAVIDASNAGAR,2007,1
VARANASI,2007,1
"UDHAMSINGH NAGAR",2007,1
TOTAL,2007,1
PURULIA,2007,1
PONDICHERRY,2007,1
ADILABAD,2008,1
KHAMMAM,2008,1
KRISHNA,2008,1
KURNOOL,2008,1
PRAKASHAM,2008,1
VIZIANAGARAM,2008,1
AURANGABAD,2008,1
PATNA,2008,1
SHEIKHPURA,2008,1
BILASPUR,2008,1
DHAMTARI,2008,1
GANDHINAGAR,2008,1
KUTCH,2008,1
MEHSANA,2008,1
PALANPUR,2008,1
SURENDRANAGAR,2008,1
FATEHABAD,2008,1
PANIPAT,2008,1
SONIPAT,2008,1
YAMUNANAGAR,2008,1
HAZARIBAGH,2008,1
SAHEBGANJ,2008,1
"BANGALORE RURAL",2008,1
BELLARY,2008,1
BIDAR,2008,1
CHICKMAGALUR,2008,1
KOLAR,2008,1
MANDYA,2008,1
ALAPUZHA,2008,1
KANNUR,2008,1
THRISSUR,2008,1
"BHOPAL RLY.",2008,1
BURHANPUR,2008,1
DHAR,2008,1
HARDA,2008,1
HOSHANGABAD,2008,1
INDORE,2008,1
"JABALPUR RLY.",2008,1
KHANDWA,2008,1
KHARGON,2008,1
MANDLA,2008,1
NARSINGHPUR,2008,1
NEEMUCH,2008,1
RAISEN,2008,1
TIKAMGARH,2008,1
UMARIYA,2008,1
"AURANGABAD COMMR.",2008,1
"AURANGABAD RURAL",2008,1
BULDHANA,2008,1
GONDIA,2008,1
HINGOLI,2008,1
LATUR,2008,1
"NAGPUR RURAL",2008,1
"NASIK RURAL",2008,1
PARBHANI,2008,1
SATARA,2008,1
"SOLAPUR RURAL",2008,1
WARDHA,2008,1
WASHIM,2008,1
BALASORE,2008,1
BOUDH,2008,1
GANJAM,2008,1
NOWRANGPUR,2008,1
PURI,2008,1
SUNDARGARH,2008,1
AJMER,2008,1
CHITTORGARH,2008,1
"JAIPUR EAST",2008,1
JALORE,2008,1
PALI,2008,1
UDAIPUR,2008,1
EAST,2008,1
TOTAL,2008,1
"COIMBATORE RURAL",2008,1
CUDDALORE,2008,1
KARUR,2008,1
"MADURAI RURAL",2008,1
SIVAGANGAI,2008,1
SOUTH,2008,1
AZAMGARH,2008,1
BAGHPAT,2008,1
BALLIA,2008,1
BALRAMPUR,2008,1
"CHITRAKOOT DHAM",2008,1
GONDA,2008,1
HAMIRPUR,2008,1
HATHRAS,2008,1
KANNAUJ,2008,1
"KUSHI NAGAR",2008,1
MAHOBA,2008,1
MORADABAD,2008,1
RAMPUR,2008,1
SIDHARTHNAGAR,2008,1
ST.RAVIDASNAGAR,2008,1
BAGESHWAR,2008,1
NAINITAL,2008,1
ADILABAD,2009,1
CHITTOOR,2009,1
CUDDAPAH,2009,1
GUNTUR,2009,1
KRISHNA,2009,1
MEDAK,2009,1
SRIKAKULAM,2009,1
WARANGAL,2009,1
KATIHAR,2009,1
VAISHALI,2009,1
BALRAMPUR,2009,1
BILASPUR,2009,1
"GRP RAIPUR",2009,1
KABIRDHAM,2009,1
KORBA,2009,1
RAIGARH,2009,1
RAIPUR,2009,1
AMRELI,2009,1
BHAVNAGAR,2009,1
JUNAGADH,2009,1
KUTCH,2009,1
MEHSANA,2009,1
PORBANDAR,2009,1
"RAJKOT RURAL",2009,1
"SURAT COMMR.",2009,1
SURENDRANAGAR,2009,1
JHAJJAR,2009,1
KAITHAL,2009,1
ROHTAK,2009,1
SIRSA,2009,1
SONIPAT,2009,1
KULLU,2009,1
TOTAL,2009,1
KODERMA,2009,1
SAHEBGANJ,2009,1
CHICKMAGALUR,2009,1
ALAPUZHA,2009,1
BALAGHAT,2009,1
BETUL,2009,1
BHOPAL,2009,1
BURHANPUR,2009,1
DHAR,2009,1
HARDA,2009,1
KATNI,2009,1
NARSINGHPUR,2009,1
RAJGARH,2009,1
RATLAM,2009,1
SAGAR,2009,1
SEONI,2009,1
SHAJAPUR,2009,1
SINGRAULI,2009,1
UJJAIN,2009,1
"AURANGABAD COMMR.",2009,1
"AURANGABAD RURAL",2009,1
BHANDARA,2009,1
CHANDRAPUR,2009,1
HINGOLI,2009,1
LATUR,2009,1
"NAGPUR RURAL",2009,1
NANDURBAR,2009,1
"PUNE COMMR.",2009,1
SATARA,2009,1
"SOLAPUR COMMR.",2009,1
YAVATMAL,2009,1
BARAGARH,2009,1
MAYURBHANJ,2009,1
NUAPADA,2009,1
RAYAGADA,2009,1
"FATEHGARH SAHIB",2009,1
BHILWARA,2009,1
CHITTORGARH,2009,1
"JAIPUR EAST",2009,1
JALORE,2009,1
KARAULI,2009,1
PRATAPGARH,2009,1
TONK,2009,1
NORTH,2009,1
WEST,2009,1
KARUR,2009,1
PERAMBALUR,2009,1
RAMNATHAPURAM,2009,1
SIVAGANGAI,2009,1
THENI,2009,1
THOOTHUGUDI,2009,1
VILLUPURAM,2009,1
"AMBEDKAR NAGAR",2009,1
BARABANKI,2009,1
BASTI,2009,1
BIJNOR,2009,1
FAIZABAD,2009,1
G.R.P.,2009,1
GORAKHPUR,2009,1
HAMIRPUR,2009,1
"KANPUR DEHAT",2009,1
"KUSHI NAGAR",2009,1
MIRZAPUR,2009,1
PILIBHIT,2009,1
"SANT KABIRNAGAR",2009,1
SIDHARTHNAGAR,2009,1
SULTANPUR,2009,1
VARANASI,2009,1
DEHRADUN,2009,1
"UDHAMSINGH NAGAR",2009,1
ANANTAPUR,2010,1
"GUNTUR URBAN",2010,1
KARIMNAGAR,2010,1
"TIRUPATHI URBAN",2010,1
VIZIANAGARAM,2010,1
WARANGAL,2010,1
"WARANGAL URBAN",2010,1
"WEST GODAVARI",2010,1
BHAGALPUR,2010,1
SAHARSA,2010,1
BILASPUR,2010,1
JASHPUR,2010,1
KABIRDHAM,2010,1
RAJNANDGAON,2010,1
BHARUCH,2010,1
"CID CRIME",2010,1
HIMATNAGAR,2010,1
KUTCH,2010,1
PALANPUR,2010,1
PANCHMAHAL,2010,1
"VADODARA RURAL",2010,1
AMBALA,2010,1
BHIWANI,2010,1
GRP,2010,1
GURGAON,2010,1
JHAJJAR,2010,1
KURUKSHETRA,2010,1
PALWAL,2010,1
PANIPAT,2010,1
SONIPAT,2010,1
"BANGALORE COMMR.",2010,1
BIJAPUR,2010,1
KOLAR,2010,1
MANDYA,2010,1
"MYSORE RURAL",2010,1
TUMKUR,2010,1
"ERNAKULAM RURAL",2010,1
KOLLAM,2010,1
BHOPAL,2010,1
"BHOPAL RLY.",2010,1
BURHANPUR,2010,1
DEWAS,2010,1
DHAR,2010,1
HARDA,2010,1
HOSHANGABAD,2010,1
NARSINGHPUR,2010,1
NEEMUCH,2010,1
RAJGARH,2010,1
SHAHDOL,2010,1
SHEOPUR,2010,1
SIDHI,2010,1
TIKAMGARH,2010,1
AKOLA,2010,1
"AMRAVATI COMMR.",2010,1
CHANDRAPUR,2010,1
JALGAON,2010,1
"NAGPUR COMMR.",2010,1
NANDED,2010,1
SATARA,2010,1
WASHIM,2010,1
YAVATMAL,2010,1
CUTTACK,2010,1
DHENKANAL,2010,1
GANJAM,2010,1
NAYAGARH,2010,1
MANSA,2010,1
PATIALA,2010,1
BHILWARA,2010,1
BUNDI,2010,1
DAUSA,2010,1
"JAIPUR EAST",2010,1
"JAIPUR RURAL",2010,1
JALORE,2010,1
SIKAR,2010,1
"COIMBATORE RURAL",2010,1
KARUR,2010,1
THANJAVUR,2010,1
"THIRUNELVELI RURAL",2010,1
"THIRUNELVELI URBAN",2010,1
THIRUVALLUR,2010,1
THIRUVANNAMALAI,2010,1
"TRICHY RURAL",2010,1
AURAIYA,2010,1
BADAUN,2010,1
BALRAMPUR,2010,1
BASTI,2010,1
CHANDOLI,2010,1
"CHITRAKOOT DHAM",2010,1
"CSM NAGAR",2010,1
DEORIA,2010,1
FATEHGARH,2010,1
"GAUTAMBUDH NAGAR",2010,1
GHAZIPUR,2010,1
"KANSHIRAM NAGAR",2010,1
RAIBAREILLY,2010,1
SONBHADRA,2010,1
SULTANPUR,2010,1
VARANASI,2010,1
PUDUCHERRY,2010,1
TOTAL,2010,1
ANANTAPUR,2011,1
GUNTUR,2011,1
PRAKASHAM,2011,1
"TIRUPATHI URBAN",2011,1
VISAKHAPATNAM,2011,1
GOPALGANJ,2011,1
PATNA,2011,1
SAHARSA,2011,1
SIWAN,2011,1
JANJGIR,2011,1
RAIGARH,2011,1
BHARUCH,2011,1
HIMATNAGAR,2011,1
JUNAGADH,2011,1
"KUTCH (EAST(G))",2011,1
"RAJKOT RURAL",2011,1
"VADODARA COMMR.",2011,1
VALSAD,2011,1
AMBALA,2011,1
KAITHAL,2011,1
KARNAL,2011,1
KURUKSHETRA,2011,1
PALWAL,2011,1
YAMUNANAGAR,2011,1
HAMIRPUR,2011,1
TOTAL,2011,1
PAKUR,2011,1
SAHEBGANJ,2011,1
CHICKMAGALUR,2011,1
"DHARWAD COMMR.",2011,1
KOLAR,2011,1
"MANGALORE CITY",2011,1
"MYSORE RURAL",2011,1
YADGIRI,2011,1
"KOLLAM RURAL",2011,1
ALIRAJPUR,2011,1
ANUPPUR,2011,1
BALAGHAT,2011,1
BURHANPUR,2011,1
CHHINDWARA,2011,1
"JABALPUR RLY.",2011,1
KATNI,2011,1
KHANDWA,2011,1
MORENA,2011,1
NARSINGHPUR,2011,1
PANNA,2011,1
SEONI,2011,1
SIHORE,2011,1
TIKAMGARH,2011,1
AKOLA,2011,1
"AMRAVATI RURAL",2011,1
"AURANGABAD RURAL",2011,1
BEED,2011,1
HINGOLI,2011,1
JALGAON,2011,1
NANDED,2011,1
"NASIK COMMR.",2011,1
OSMANABAD,2011,1
"SOLAPUR RURAL",2011,1
"THANE COMMR.",2011,1
"THANE RURAL",2011,1
WARDHA,2011,1
YAVATMAL,2011,1
BALASORE,2011,1
KALAHANDI,2011,1
KHURDA,2011,1
BUNDI,2011,1
GANGANAGAR,2011,1
"JAIPUR NORTH",2011,1
"JAIPUR SOUTH",2011,1
"JAIPUR WEST",2011,1
JHUNJHUNU,2011,1
PALI,2011,1
TONK,2011,1
"COIMBATORE RURAL",2011,1
DHARMAPURI,2011,1
KARUR,2011,1
NAMAKKAL,2011,1
PUDUKOTTAI,2011,1
THANJAVUR,2011,1
THENI,2011,1
"THIRUNELVELI URBAN",2011,1
SOUTH,2011,1
BAHRAICH,2011,1
BALLIA,2011,1
"CSM NAGAR",2011,1
G.R.P.,2011,1
"GAUTAMBUDH NAGAR",2011,1
GHAZIPUR,2011,1
KAUSHAMBI,2011,1
MAHOBA,2011,1
ADILABAD,2012,1
CYBERABAD,2012,1
"GUNTAKAL RLY.",2012,1
KARIMNAGAR,2012,1
NELLORE,2012,1
"RANGA REDDY",2012,1
"VIJAYAWADA CITY",2012,1
VIZIANAGARAM,2012,1
BANKA,2012,1
BHAGALPUR,2012,1
BHOJPUR,2012,1
DARBHANGA,2012,1
GAYA,2012,1
JEHANABAD,2012,1
MUZAFFARPUR,2012,1
PURNEA,2012,1
ROHTAS,2012,1
SAHARSA,2012,1
SAMASTIPUR,2012,1
SARAN,2012,1
SHEOHAR,2012,1
VAISHALI,2012,1
BILASPUR,2012,1
JANJGIR,2012,1
KANKER,2012,1
RAIGARH,2012,1
RAJNANDGAON,2012,1
SURAJPUR,2012,1
"AHMEDABAD COMMR.",2012,1
BHAVNAGAR,2012,1
JAMNAGAR,2012,1
PALANPUR,2012,1
"VADODARA RURAL",2012,1
BHIWANI,2012,1
FARIDABAD,2012,1
GURGAON,2012,1
HISSAR,2012,1
KARNAL,2012,1
PANCHKULA,2012,1
ROHTAK,2012,1
GARHWA,2012,1
TOTAL,2012,1
BAGALKOT,2012,1
BIDAR,2012,1
CHICKMAGALUR,2012,1
CHITRADURGA,2012,1
"DHARWAD RURAL",2012,1
KODAGU,2012,1
MANDYA,2012,1
"MANGALORE CITY",2012,1
RAICHUR,2012,1
PALAKKAD,2012,1
BURHANPUR,2012,1
DHAR,2012,1
GUNA,2012,1
JHABUA,2012,1
KATNI,2012,1
KHANDWA,2012,1
MANDSAUR,2012,1
MORENA,2012,1
NARSINGHPUR,2012,1
PANNA,2012,1
SHAJAPUR,2012,1
SHEOPUR,2012,1
TIKAMGARH,2012,1
UJJAIN,2012,1
AHMEDNAGAR,2012,1
DHULE,2012,1
GADCHIROLI,2012,1
GONDIA,2012,1
HINGOLI,2012,1
JALGAON,2012,1
KOLHAPUR,2012,1
"NASIK RURAL",2012,1
OSMANABAD,2012,1
"SOLAPUR RURAL",2012,1
JHARSUGUDA,2012,1
"AMRITSAR RURAL",2012,1
"CP LUDHIANA",2012,1
KAPURTHALA,2012,1
MOGA,2012,1
AJMER,2012,1
HANUMANGARH,2012,1
"JAIPUR WEST",2012,1
"JODHPUR RURAL",2012,1
EAST,2012,1
"COIMBATORE RURAL",2012,1
DHARMAPURI,2012,1
"MADURAI URBAN",2012,1
PUDUKOTTAI,2012,1
"SALEM RURAL",2012,1
VILLUPURAM,2012,1
KHOWAI,2012,1
SOUTH,2012,1
BAGHPAT,2012,1
BALRAMPUR,2012,1
FAIZABAD,2012,1
G.R.P.,2012,1
GONDA,2012,1
KAUSHAMBI,2012,1
"KUSHI NAGAR",2012,1
LALITPUR,2012,1
MAHARAJGANJ,2012,1
"PRABUDDH NAGAR",2012,1
SONBHADRA,2012,1
HARIDWAR,2012,1
NAINITAL,2012,1
"UDHAMSINGH NAGAR",2012,1
KARAIKAL,2012,1
PUDUCHERRY,2012,1
"JAIPUR RURAL",2008,2
JHALAWAR,2008,2
JHUNJHUNU,2008,2
KARAULI,2008,2
"KOTA CITY",2008,2
"KOTA RURAL",2008,2
SIKAR,2008,2
DHARMAPURI,2008,2
ERODE,2008,2
"THIRUNELVELI RURAL",2008,2
VILLUPURAM,2008,2
VIRUDHUNAGAR,2008,2
BASTI,2008,2
ETAH,2008,2
"GAUTAMBUDH NAGAR",2008,2
GHAZIABAD,2008,2
LALITPUR,2008,2
PRATAPGARH,2008,2
"UDHAMSINGH NAGAR",2008,2
KHAMMAM,2009,2
NELLORE,2009,2
NIZAMABAD,2009,2
ARARIA,2009,2
GAYA,2009,2
GOPALGANJ,2009,2
SHEIKHPURA,2009,2
KORIYA,2009,2
RAJNANDGAON,2009,2
JAMNAGAR,2009,2
PALANPUR,2009,2
PANCHMAHAL,2009,2
PATAN,2009,2
PANIPAT,2009,2
BAGALKOT,2009,2
CHITRADURGA,2009,2
HASSAN,2009,2
"MYSORE RURAL",2009,2
TUMKUR,2009,2
"ERNAKULAM RURAL",2009,2
"ASHOK NAGAR",2009,2
DATIYA,2009,2
HOSHANGABAD,2009,2
KHANDWA,2009,2
MANDSAUR,2009,2
PANNA,2009,2
REWA,2009,2
SATNA,2009,2
SHEOPUR,2009,2
BEED,2009,2
MOGA,2009,2
BARAN,2009,2
BIKANER,2009,2
DHOLPUR,2009,2
HANUMANGARH,2009,2
"JAIPUR SOUTH",2009,2
JHALAWAR,2009,2
"KOTA RURAL",2009,2
TOTAL,2009,2
NAGAPATTINAM,2009,2
NILGIRIS,2009,2
THANJAVUR,2009,2
"THIRUNELVELI URBAN",2009,2
THIRUVARUR,2009,2
AZAMGARH,2009,2
BAGHPAT,2009,2
BAHRAICH,2009,2
"CHITRAKOOT DHAM",2009,2
GHAZIPUR,2009,2
HATHRAS,2009,2
MAHARAJGANJ,2009,2
MAU,2009,2
PRATAPGARH,2009,2
RAMPUR,2009,2
SHRAWASTI,2009,2
GUNTUR,2010,2
NELLORE,2010,2
SRIKAKULAM,2010,2
"VIJAYAWADA CITY",2010,2
VAISHALI,2010,2
JANJGIR,2010,2
KORBA,2010,2
HISSAR,2010,2
KARNAL,2010,2
RAMANAGAR,2010,2
THRISSUR,2010,2
"ASHOK NAGAR",2010,2
BALAGHAT,2010,2
DAMOH,2010,2
GUNA,2010,2
JABALPUR,2010,2
KHANDWA,2010,2
MANDSAUR,2010,2
SATNA,2010,2
SIHORE,2010,2
AHMEDNAGAR,2010,2
BEED,2010,2
BHANDARA,2010,2
HINGOLI,2010,2
LATUR,2010,2
"PUNE RURAL",2010,2
SONEPUR,2010,2
MOGA,2010,2
BARMER,2010,2
"KOTA CITY",2010,2
PALI,2010,2
NAGAPATTINAM,2010,2
"AMBEDKAR NAGAR",2010,2
BANDA,2010,2
BARABANKI,2010,2
BIJNOR,2010,2
ETAWAH,2010,2
KANNAUJ,2010,2
KAUSHAMBI,2010,2
MAHOBA,2010,2
MATHURA,2010,2
MAU,2010,2
RAMPUR,2010,2
SAHARANPUR,2010,2
"SANT KABIRNAGAR",2010,2
UNNAO,2010,2
CUDDAPAH,2011,2
CYBERABAD,2011,2
"EAST GODAVARI",2011,2
KHAMMAM,2011,2
NALGONDA,2011,2
NELLORE,2011,2
"VIJAYAWADA CITY",2011,2
VIZIANAGARAM,2011,2
WARANGAL,2011,2
"WEST GODAVARI",2011,2
BHAGALPUR,2011,2
JAMUI,2011,2
MADHEPURA,2011,2
VAISHALI,2011,2
TOTAL,2011,2
"AHMEDABAD COMMR.",2011,2
JIND,2011,2
REWARI,2011,2
SIRSA,2011,2
SONIPAT,2011,2
JAMSHEDPUR,2011,2
BELGAUM,2011,2
CHITRADURGA,2011,2
HASSAN,2011,2
KODAGU,2011,2
PALAKKAD,2011,2
BETUL,2011,2
DAMOH,2011,2
DHAR,2011,2
GUNA,2011,2
HOSHANGABAD,2011,2
JABALPUR,2011,2
MANDLA,2011,2
NEEMUCH,2011,2
RAISEN,2011,2
LATUR,2011,2
"NAGPUR RURAL",2011,2
"PUNE RURAL",2011,2
DHENKANAL,2011,2
BHATINDA,2011,2
AJMER,2011,2
BARMER,2011,2
BIKANER,2011,2
"KOTA CITY",2011,2
RAJSAMAND,2011,2
"SAWAI MADHOPUR",2011,2
SIKAR,2011,2
RAMNATHAPURAM,2011,2
"THIRUNELVELI RURAL",2011,2
THIRUVARUR,2011,2
BADAUN,2011,2
BALRAMPUR,2011,2
BARABANKI,2011,2
ETAH,2011,2
FATEHGARH,2011,2
GONDA,2011,2
HARDOI,2011,2
JAUNPUR,2011,2
"KANSHIRAM NAGAR",2011,2
MIRZAPUR,2011,2
"SANT KABIRNAGAR",2011,2
VARANASI,2011,2
CHITTOOR,2012,2
CUDDAPAH,2012,2
KRISHNA,2012,2
MEDAK,2012,2
PRAKASHAM,2012,2
SRIKAKULAM,2012,2
VISAKHAPATNAM,2012,2
WARANGAL,2012,2
BEGUSARAI,2012,2
BUXAR,2012,2
NAWADAH,2012,2
SHEIKHPURA,2012,2
PANCHMAHAL,2012,2
PALWAL,2012,2
PANIPAT,2012,2
BIJAPUR,2012,2
SHIMOGA,2012,2
YADGIRI,2012,2
BHOPAL,2012,2
CHHINDWARA,2012,2
HOSHANGABAD,2012,2
RATLAM,2012,2
SAGAR,2012,2
SHAHDOL,2012,2
SHIVPURI,2012,2
SINGRAULI,2012,2
BHANDARA,2012,2
BULDHANA,2012,2
LATUR,2012,2
"PUNE RURAL",2012,2
BHADRAK,2012,2
BOLANGIR,2012,2
DHENKANAL,2012,2
GANJAM,2012,2
PURI,2012,2
BARMER,2012,2
BIKANER,2012,2
BUNDI,2012,2
"JAIPUR RURAL",2012,2
"JAIPUR SOUTH",2012,2
JHALAWAR,2012,2
"KOTA CITY",2012,2
"KOTA RURAL",2012,2
NAGAUR,2012,2
SIROHI,2012,2
KRISHNAGIRI,2012,2
RAMNATHAPURAM,2012,2
"THIRUNELVELI URBAN",2012,2
VIRUDHUNAGAR,2012,2
TOTAL,2012,2
"AMBEDKAR NAGAR",2012,2
AURAIYA,2012,2
BANDA,2012,2
BASTI,2012,2
"BHIM NAGAR",2012,2
"CSM NAGAR",2012,2
ETAH,2012,2
FATEHGARH,2012,2
"GAUTAMBUDH NAGAR",2012,2
GHAZIPUR,2012,2
GORAKHPUR,2012,2
HAMIRPUR,2012,2
HATHRAS,2012,2
J.P.NAGAR,2012,2
JAUNPUR,2012,2
"KANSHIRAM NAGAR",2012,2
MAHOBA,2012,2
MORADABAD,2012,2
PRATAPGARH,2012,2
RAIBAREILLY,2012,2
"RAMABAI NAGAR",2012,2
"SANT KABIRNAGAR",2012,2
SHAHJAHANPUR,2012,2
ST.RAVIDASNAGAR,2012,2
SULTANPUR,2012,2
VARANASI,2012,2
KHAMMAM,2001,2
"RANGA REDDY",2001,2
VIZIANAGARAM,2001,2
BHABHUA,2001,2
MADHUBANI,2001,2
BILASPUR,2001,2
"AHMEDABAD COMMR.",2001,2
AMRELI,2001,2
MEHSANA,2001,2
"VADODARA COMMR.",2001,2
AMBALA,2001,2
DUMKA,2001,2
"BANGALORE RURAL",2001,2
CHICKMAGALUR,2001,2
GULBARGA,2001,2
KOLAR,2001,2
PALAKKAD,2001,2
THRISSUR,2001,2
CHHATARPUR,2001,2
HARDA,2001,2
JABALPUR,2001,2
SHIVPURI,2001,2
"AURANGABAD COMMR.",2001,2
NANDED,2001,2
PURI,2001,2
ALWAR,2001,2
BARMER,2001,2
BHARATPUR,2001,2
BIKANER,2001,2
CHITTORGARH,2001,2
GANGANAGAR,2001,2
NAGAUR,2001,2
SIKAR,2001,2
SIROHI,2001,2
TONK,2001,2
ERODE,2001,2
"MADURAI RURAL",2001,2
THANJAVUR,2001,2
"THIRUNELVELI URBAN",2001,2
VIRUDHUNAGAR,2001,2
"AMBEDKAR NAGAR",2001,2
DEORIA,2001,2
"KANPUR DEHAT",2001,2
"KUSHI NAGAR",2001,2
MIRZAPUR,2001,2
"SANT KABIRNAGAR",2001,2
SHRAWASTI,2001,2
SONBHADRA,2001,2
SULTANPUR,2001,2
VARANASI,2001,2
"EAST GODAVARI",2002,2
KHAMMAM,2002,2
VIJAYAWADA,2002,2
DURG,2002,2
MAHASAMUND,2002,2
RAIPUR,2002,2
AMRELI,2002,2
KUTCH,2002,2
SURENDRANAGAR,2002,2
KURUKSHETRA,2002,2
KANGRA,2002,2
TOTAL,2002,2
"BANGALORE RURAL",2002,2
BIJAPUR,2002,2
KOLAR,2002,2
MANDYA,2002,2
CHHATARPUR,2002,2
KHANDWA,2002,2
REWA,2002,2
SHEOPUR,2002,2
TIKAMGARH,2002,2
UJJAIN,2002,2
VIDISHA,2002,2
"SOLAPUR RURAL",2002,2
ALWAR,2002,2
BHILWARA,2002,2
CHURU,2002,2
GANGANAGAR,2002,2
JHUNJHUNU,2002,2
KOTA,2002,2
"COIMBATORE RURAL",2002,2
CUDDALORE,2002,2
"THIRUNELVELI URBAN",2002,2
THIRUVANNAMALAI,2002,2
VILLUPURAM,2002,2
BAGHPAT,2002,2
BAHRAICH,2002,2
BALLIA,2002,2
"CHITRAKOOT DHAM",2002,2
ETAWAH,2002,2
JAUNPUR,2002,2
MAHARAJGANJ,2002,2
PILIBHIT,2002,2
HARIDWAR,2002,2
CYBERABAD,2003,2
GUNTUR,2003,2
PRAKASHAM,2003,2
VIJAYAWADA,2003,2
"WEST GODAVARI",2003,2
GOLAGHAT,2003,2
KOKRAJHAR,2003,2
NALANDA,2003,2
PATNA,2003,2
"SURAT RURAL",2003,2
GRP,2003,2
KURUKSHETRA,2003,2
PANIPAT,2003,2
BIDAR,2003,2
BIJAPUR,2003,2
"DHARWAD RURAL",2003,2
GULBARGA,2003,2
SHIMOGA,2003,2
BARWANI,2003,2
BETUL,2003,2
"BHOPAL RLY.",2003,2
DAMOH,2003,2
GUNA,2003,2
GWALIOR,2003,2
MANDSAUR,2003,2
NARSINGHPUR,2003,2
REWA,2003,2
SHEOPUR,2003,2
SIDHI,2003,2
"SOLAPUR RURAL",2003,2
GANJAM,2003,2
BHARATPUR,2003,2
BIKANER,2003,2
CHURU,2003,2
JAIPUR,2003,2
JHALAWAR,2003,2
JHUNJHUNU,2003,2
PALI,2003,2
CUDDALORE,2003,2
PERAMBALUR,2003,2
THANJAVUR,2003,2
"THIRUNELVELI RURAL",2003,2
VIRUDHUNAGAR,2003,2
ALLAHABAD,2003,2
"AMBEDKAR NAGAR",2003,2
CHANDOLI,2003,2
"GAUTAMBUDH NAGAR",2003,2
J.P.NAGAR,2003,2
"KANPUR DEHAT",2003,2
LALITPUR,2003,2
MIRZAPUR,2003,2
RAMPUR,2003,2
"SANT KABIRNAGAR",2003,2
VARANASI,2003,2
"UDHAMSINGH NAGAR",2003,2
ANANTAPUR,2004,2
KURNOOL,2004,2
NIZAMABAD,2004,2
VIJAYAWADA,2004,2
VISAKHAPATNAM,2004,2
"WEST GODAVARI",2004,2
BUXAR,2004,2
JANJGIR,2004,2
RAIPUR,2004,2
HIMATNAGAR,2004,2
TOTAL,2004,2
BAGALKOT,2004,2
BIDAR,2004,2
KODAGU,2004,2
"ASHOK NAGAR",2004,2
BALAGHAT,2004,2
DATIYA,2004,2
DEWAS,2004,2
KHARGON,2004,2
REWA,2004,2
SEONI,2004,2
SHAJAPUR,2004,2
OSMANABAD,2004,2
ANGUL,2004,2
GANJAM,2004,2
KALAHANDI,2004,2
NOWRANGPUR,2004,2
DHOLPUR,2004,2
JAIPUR,2004,2
JALORE,2004,2
JHUNJHUNU,2004,2
PALI,2004,2
SOUTH,2004,2
CHENGAI,2004,2
ERODE,2004,2
"MADURAI RURAL",2004,2
NAGAPATTINAM,2004,2
SIVAGANGAI,2004,2
FIROZABAD,2004,2
HAMIRPUR,2004,2
MATHURA,2004,2
ST.RAVIDASNAGAR,2004,2
ANANTAPUR,2005,2
GUNTUR,2005,2
KRISHNA,2005,2
NALGONDA,2005,2
NAGAON,2005,2
BHAGALPUR,2005,2
JEHANABAD,2005,2
BILASPUR,2005,2
KUTCH,2005,2
PALANPUR,2005,2
DUMKA,2005,2
LOHARDAGGA,2005,2
KOLAR,2005,2
RAICHUR,2005,2
KOLLAM,2005,2
"ASHOK NAGAR",2005,2
GUNA,2005,2
HARDA,2005,2
JABALPUR,2005,2
KHANDWA,2005,2
NEEMUCH,2005,2
PANNA,2005,2
RAISEN,2005,2
REWA,2005,2
SIHORE,2005,2
TIKAMGARH,2005,2
PARBHANI,2005,2
"PUNE RURAL",2005,2
SANGLI,2005,2
KENDRAPARA,2005,2
NOWRANGPUR,2005,2
NUAPADA,2005,2
AJMER,2005,2
BARMER,2005,2
BHILWARA,2005,2
BIKANER,2005,2
CHURU,2005,2
JHUNJHUNU,2005,2
KARAULI,2005,2
