state,district,year,rape,kidnapping
ODISHA,TOTAL,2002,691,432
"TAMIL NADU",TOTAL,2010,686,1464
PUNJAB,TOTAL,2012,680,689
"TAMIL NADU",TOTAL,2011,677,1743
HARYANA,TOTAL,2012,668,900
DELHI,"DELHI UT TOTAL",2005,658,1106
KARNATAKA,TOTAL,2011,636,715
KERALA,TOTAL,2010,634,184
HARYANA,TOTAL,2008,631,644
DELHI,"DELHI UT TOTAL",2006,623,1066
KARNATAKA,TOTAL,2012,621,1070
"TAMIL NADU",TOTAL,2004,618,692
HARYANA,TOTAL,2006,608,431
HARYANA,TOTAL,2009,603,659
KERALA,TOTAL,2006,601,202
DELHI,"DELHI UT TOTAL",2007,598,1167
"TAMIL NADU",TOTAL,2009,596,1133
KARNATAKA,TOTAL,2010,586,586
"TAMIL NADU",TOTAL,2008,573,1160
DELHI,"DELHI UT TOTAL",2011,572,2085
"TAMIL NADU",TOTAL,2005,571,783
KERALA,TOTAL,2008,568,166
KERALA,TOTAL,2009,568,173
"WEST BENGAL",MURSHIDABAD,2009,568,342
JHARKHAND,TOTAL,2001,567,279
KERALA,TOTAL,2001,562,97
"TAMIL NADU",TOTAL,2003,557,632
DELHI,"DELHI UT TOTAL",2004,551,881
PUNJAB,TOTAL,2010,546,576
"TAMIL NADU",TOTAL,2002,534,714
"WEST BENGAL",MURSHIDABAD,2010,526,441
"TAMIL NADU",TOTAL,2007,523,1097
PUNJAB,TOTAL,2007,519,545
PUNJAB,TOTAL,2008,517,514
KERALA,TOTAL,2007,512,177
PUNJAB,TOTAL,2009,511,513
KARNATAKA,TOTAL,2009,509,408
DELHI,"DELHI UT TOTAL",2010,507,1740
KERALA,TOTAL,2002,499,91
DELHI,"DELHI UT TOTAL",2003,490,797
HARYANA,TOTAL,2007,488,554
KERALA,TOTAL,2004,480,142
PUNJAB,TOTAL,2011,479,517
KERALA,TOTAL,2005,478,129
GUJARAT,TOTAL,2012,473,1527
DELHI,"DELHI UT TOTAL",2009,469,1655
DELHI,"DELHI UT TOTAL",2008,466,1136
HARYANA,TOTAL,2005,461,344
"TAMIL NADU",TOTAL,2006,457,718
KARNATAKA,TOTAL,2008,446,405
PUNJAB,TOTAL,2006,442,418
GUJARAT,TOTAL,2011,439,1442
KARNATAKA,TOTAL,2007,436,390
GUJARAT,TOTAL,2009,433,1162
"WEST BENGAL",MURSHIDABAD,2011,433,492
"TAMIL NADU",TOTAL,2001,423,607
GUJARAT,TOTAL,2010,408,1290
DELHI,"DELHI UT TOTAL",2002,403,893
KARNATAKA,TOTAL,2006,400,328
HARYANA,TOTAL,2001,398,297
PUNJAB,TOTAL,2005,398,329
